answer,question
"In this article, we will review the TeC error: ""Value provided for GTIN on line 1 (123) is invalid.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value provided for GTIN on line 1 (123) is invalid.
"".
This error indicates that the GTIN (Global Trade Item Number) provided on line 1 is not a valid GTIN. GTINs are unique identifiers used globally to identify products, and they must follow specific formats and validation rules (such as length and check digit).
You can verify GTINs using the GS1 validation service:
https://www.gs1.org/services/verified-by-gs1/results?gtin=
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): Please verify the following:
Ensure GTIN validity: Use only GTINs that conform to GS1 standards (typically 8, 12, 13, or 14 digits with a valid check digit).
Avoid placeholder or internal codes: Do not use internal product codes or short numbers that are not registered GTINs.
Use GS1 tools: Validate GTINs using GS1s online tools or APIs before submitting product data or invoices.
If you are a customer (receiving the invoice)
: Your options are the following:
Provide GTIN requirements: Clearly communicate GTIN formatting and validation expectations to your suppliers.
Support suppliers: If a supplier submits an invalid GTIN, provide guidance or direct them to GS1 resources for correction.
If you wish to make an exception, you can accept the document in its current state. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value provided for GTIN on line 1 (123) is invalid.
"In this article, we will review the TeC error: ""Value provided for Payment reference (OCR number) ('123') is invalid."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value provided for Payment reference (OCR number) ('123') is invalid.
"".
This error means that the invoice cannot be processed because the OCR number does not meet the required format or checksum validation. An OCR number is a unique reference code (commonly used in Sweden), printed on invoices or payment forms to help machines accurately identify and process payments. The OCR number might be validated based on a rule by the invoice recipient. The OCR number is provided directly on the invoice.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that the OCR number is numeric and follows the correct rules.
Avoid including spaces, special characters, and letters.
Contact your customer to obtain the expected OCR number format expected by them.
If you are creating the invoice from our portal, please make sure to provide the value in the field ""
Payment reference (OCR number)
"" under ""
Payment details
"" part.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate the precise requirements clearly to your suppliers to ensure compliance. If you expect a specific format, share it with your suppliers.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value provided for Payment reference (OCR number) ('123') is invalid
"In this article, we will review the TeC error: ""You are blocked as supplier by the receiving member because you are not found in his supplier list."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
You are blocked as supplier by the receiving member because you are not found in his supplier list.
"".
This error means that the invoice cannot be delivered because the supplier is not recognized by the recipients system. The recipient (receiver) uses a whitelist of approved suppliers, and that supplier is not currently included.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Contact the recipient and request to be added to their supplier list with the correct organization details.
If you are a customer (receiving the invoice)
: Your options are the following:
Ensure your supplier list is up to date and includes all valid suppliers.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: You are blocked as supplier by the receiving member because you are not found in his supplier list
"With Tungsten e-Invoice Connect, you can send or receive your invoices directly via FTP/SFTP. This service is available for Basic/Plus/Premium membership levels.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
Table of contents:
Guide 1: How to send invoices via FTP/SFTP?
Guide 2: How to receive invoices via FTP/SFTP?
 Guide 1: How to send invoices via FTP/SFTP?

Step 1:
Verify your membership level
To send invoices via FTP/SFTP, the minimum membership level is Basic. If your membership level is free, you will need to upgrade it. Otherwise, the features described below will not be available to you. From the portal, check the footer of the page:
Basic/Plus/Premium
: You can continue with this guide. FTP/SFTP is available.
Free
: You need to select the option ""
Upgrade
"" and choose a higher membership level.

Step 2:
Configure your settings
You can connect your ERP system or an eDelivery operator to start using Tungsten e-Invoice Connect as a hub, transferring invoices to recipients.
From the menu, select ""
Settings
"" - ""
Sending
"".
Scroll down to the part ""
Integration with a business system for sending
"".
Select your business system or format available.
A new section, ""
File transport
"", will appear. Select Fetch files from ""
FTP account
"".

Step 3:
Provide FTP or SFTP instructions
After selecting ""
FTP account
"", you will be invited to provide all the necessary information for us to connect to your server.
Server
: Type the
FTP
server address. This could be the IP address.
Port
: Select the
FTP
port number. Standard is
21
for direct
FTP
connections, and
22
is standard for SSH File Transfer Protocol (S
FTP
).
Username
: Type the username for your
FTP
account.
Password
: Type the password for your
FTP
account.
Path on
FTP
server
: Specify the path to the folder where the files are to be retrieved.
File name pattern
: Specify whether any specific types of invoices are to be retrieved from the folder. For example, to only retrieve XML invoices, type *.xml. If this box is left empty, all files are retrieved.
FTP
S security method
: Select a method.
Secure
FTP
/S
FTP
: Select to enable S
FTP
(encryption). This is recommended.
Binary mode
: Select to enable binary mode, which means the transferred data is not converted but sent as a direct stream. If this option is not selected, ASCII transfer is used instead, which means that all data is first converted to text characters and then the data is converted back when it reaches the recipients.
Remove file after polling
: Select to delete files after they are transferred to Tungsten e-Invoice Connect. The user created on your side must have the necessary file permissions for this action.
Passive mode for transfer
: Select to enable passive mode, which allows direct transfer without any further configuration. We recommend that you select this setting.

Step 4:
Final actions
You will need to provide an email for error notification and save your inputs.
Under
Email address to send error notifications to
, enter the email address to use when sending notifications if there are problems with a transfer.
Click
Save
at the bottom of the page.
 Guide 2: How to receive invoices via FTP/SFTP?

Step 1:
Verify your membership level
To receive invoices via FTP/SFTP, the minimum membership level is Basic. If your membership level is free, you will need to upgrade it. Otherwise, the features described below will not be available to you. From the portal, check the footer of the page:
Basic/Plus/Premium
: You can continue with this guide. FTP/SFTP is possible.
Free
: You need to select the option ""
Upgrade
"" and choose a higher membership level.

Step 2:
Configure your settings
You can connect your ERP system to start using Tungsten e-Invoice Connect as a hub, transferring received invoices.
From the menu, select ""
Settings
"" - ""
Addresses
"".
If you are looking to set a new recipient, select ""
Add address
"". If you are looking to update an existing recipient, select the ""
Edit
"" option.
In the next page, make sure to select the option ""
Receive invoices via business system integration
"". If you select another option (e.g., ""Not yet ready,"" ""Email,"" or ""Web interface""), FTP/SFTP will not be available.
In the part ""
Default transportation
"", select
FTP
.

Step 3:
Provide FTP or SFTP instructions
After selecting ""
FTP
"", you will be invited to provide all the necessary information for us to connect to your server.
FTP Server
: Type the
FTP
server address. This could be the IP address.
Port
: Select the
FTP
port number. Standard is
21
for direct
FTP
connections, and
22
is standard for SSH File Transfer Protocol (S
FTP
).
Username
: Type the username for your
FTP
account.
Password
: Type the password for your
FTP
account.
Path on
FTP
server
: Specify the path to the folder where the files are to be sent.
Temporary directory on remote server while sending
: If file is first uploaded to a temporary folder on the remote server, then moved to the final location only after the upload is complete, to avoid incomplete files being processed.
Binary mode
: Select to enable binary mode, which means the transferred data is not converted but sent as a direct stream. If this option is not selected, ASCII transfer is used instead, which means that all data is first converted to text characters and then the data is converted back when it reaches the recipients.
Passive mode for sending
: Select to enable passive mode, which allows direct transfer without any further configuration. We recommend that you select this setting.
Secure
FTP
/S
FTP
: Select to enable S
FTP
(encryption). This is recommended.
Once completed, you must press the button ""
Save
"" at the bottom of the page.",Tungsten e-Invoice Connect (TeC) - How can I send and receive my invoices via FTP or SFTP?
"If you no longer wish to receive invoices but still want to be able to send them via the TeC portal, you can easily adjust this setting from your account.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Stop a specific address, recipient, or profile
With TeC, you can set up multiple recipient addresses and settings. This is useful if your company has multiple branches, departments, or offices. In such cases, you can stop receiving invoices for a particular recipient while keeping the rest of the business unchanged.
From the top menu, select ""
Settings
"" - ""
Addresses
"".
Find the recipient profile and select the ""
Edit
"" icon.
Select the option ""
Not yet ready to receive invoices
"".
Press ""
Save
"" at the bottom of the page.
You will have to revert this action by selecting one of the 3 options below to receive invoices via web interface, PDF, or business system integration. This feature is useful if you're performing a system update and need to temporarily pause invoice reception.

Step 2:
Stop the entire Company account
If you want to stop all your recipient profiles, it is easier to make the change at the company level.
From the top menu, select ""
Settings
"" - ""
Member account
"".
In the section ""Use e-Invoice Connect"", select the option ""
... to send invoices only
"".
Press the button
Save
at the bottom of the page.
With this setting, you will still be able to send invoices, but you will no longer receive any. You can revert this change at any time in the future.
 If you are looking to terminate your account completely rather than just stopping receiving invoices, the process will be different and can't be completed from the settings. You can refer to this article:
Tungsten e-Invoice Connect (TeC) - How to Unregister or Terminate our company account?",Tungsten e-Invoice Connect (TeC) - How can I stop our company from receiving invoices?
"Tungsten e-Invoice Connect supports the ability to add companies to public registries.. If you need to update or remove your company record, please refer to this article.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
With Tungsten e-Invoice Connect, we can add companies to public registries such as PEPPOL, NEA (Sweden), TIEKE (Finland), ELMA (Norway), NemHandel (Denmark), or our own TeC interoperability registry. If, for any reason, you need to update or remove your company from one of these registries, please contact our Technical Support.
The request must be submitted by the company itself; it is not possible to request a change or deletion on a customers behalf.
Partners may only request registry updates for direct customers they represent on the TeC portal.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name.
Record update or removal (if update, please specify the exact changes required).
Company Identifiers (PEPPOL ID, ORGnr, ORG ID, GLN, OVT, Y-tunnus, CVR, etc.).
Specify the registry to update: PEPPOL, NEA (Sweden), TIEKE (Finland), ELMA (Norway), NemHandel (Denmark), or the TeC interoperability registry.

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships
. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?
 Customers with a Free or Basic membership are not eligible to request a new record to be added to a registry. However, if a record already exists, customers on a Free or Basic membership can still request its deletion using the following contact form:
Tungsten e-Invoice Connect Technical Support Contact Form",Tungsten e-Invoice Connect (TeC) - How to Change or Delete an existing record from a Registry or PEPPOL?
"For various reasons, you might need to test a data file or an invoice. As all tests must be performed in our production environment, please review the recommendations below.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Recommendations
Unfortunately, we do not offer a public testing environment. This is because we do not maintain a one-to-one replica of our production environment. Our testing environment is reserved for internal development and the implementation of specific system integrations. Please note that our Technical Support team will not process files submitted through support cases, since all invoice processing, including test ones, takes place in the production environment.
Sending Invoices:
As a supplier, you will need to find a customer who agrees to receive your test invoices. Once sent, you can review the results via the portal. Because documents cannot be deleted, you and your customer may consider rejecting the test invoice or issuing a credit note of the same value to effectively nullify the total amount due.
Receiving Invoices:
As a customer, you will need a supplier to send you a test invoice. Depending on the test scenario, you may need to provide your supplier with specific instructions for generating the invoice. Once received, you can review the results on the portal. Since documents cannot be deleted, you may choose to reject the test invoice or request a credit note of the same value to offset it.
We understand that some customers may prefer to test invoices or data files without generating an actual invoice on the portal. However, we currently recommend performing complete end-to-end testing directly in our production environment, as this provides better visibility and control over the results.",Tungsten e-Invoice Connect (TeC) - How to Test a datafile or an invoice and review the result?
"If youve decided to stop using our services and would like to unregister your account, please follow this article.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Important Information
Only company administrators can request to unregister an account. For security and privacy reasons, we cannot process requests made on behalf of someone else.
If youre a member user, please contact your administrator to submit the request.
To ensure the request is genuine, our support team may ask you to verify your identity.

Step 2:
Contacting our Technical Support
The request must be submitted to our Technical Support team. You can find more information to contact us in this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?
If you are a customer with a Free or Basic membership level, you will have to use a special contact form available here:
Tungsten e-Invoice Connect Technical Support Contact Form
In your request description, please include:
Termination Date.
Cancellation Reason.
Approvers name, email, and phone number.
Company Name.
TeC Member ID -
Click here to find your member ID
Once verified, your request will be processed. You will receive confirmation once your account has been successfully deactivated.",Tungsten e-Invoice Connect (TeC) - How to Unregister or Terminate our company account?
"Tungsten e-Invoice Connect is directly connected to certain VAN operators. This is referred to as interoperability and allows you to send and receive invoices with non-TeC customers.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
Tungsten e-Invoice Connect works with different VAN Operators to extend the list of customers available for you to send invoices to. If your customer is not on Tungsten e-Invoice Connect, but is using one of the VAN Operators listed below, we can add them to the list of your customers on the portal. There are a few important points to be aware of:
You must know the VAN Operator of your customer (how do they receive invoices).
You must verify that the customer isn't already available on the portal. You can do this from the menu ""
Invoice
"" - ""
Create new
"" - Then search for a recipient. If they are available, you should try to invoice them directly. If successful, then you can already transact with your customer.
If you get an error ""
The electronic recipient could not be identified
"", please verify that you provided the correct customer ID or party ID. If you provided the correct one, then an update to our registry might be required. You are most likely looking to change the VAN Operator assigned (as they changed it on their end).
If you get an error ""
Incorrect Customer GLN has been used
"", please verify that you provided the correct customer ID or party ID. If you provided the correct one, then an update to our registry might be required. You are most likely looking to change the VAN Operator assigned (as they changed it on their end).
If your customer is already on PEPPOL, then you don't need to add them via their VAN Operator. You can already send them invoices from the menu ""
Invoice
"" - ""
Create new
"" (but this time select ""Search in Peppol Directory""). You can verify this with this guide:
Tungsten e-Invoice Connect (TeC) - How to check Peppol Customer Registration?
List of
VAN Operators that we can connect
with: Apix Messaging, Basware, Basware, BGC, CGI, Compello AB, Crediflow, EDI Solutions, Exder, Inexchange, LOGIQ AS, Maventa, Nordea, Opentext, Opus Capita, Opus Capita, Pagero, PostNord, Ropo Capital Oy, ScanCloud, Sproom, Swedbank, Tieto, TrueCommerce, Tyringekonsult AB, Visma Proceedo.
 If your customer's VAN operator is not in the list, we will not be able to connect to them. In that case, an alternative channel such as PEPPOL should be used, or the customer should be invited to use TeC directly.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers they use to receive invoices (GLN's, ORG NUMBERS, etc)
VAN Operator name (the company they use to receive invoices)

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the TeC registry (interoperability list). If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How can my customers receive my invoices outside TeC via their own VAN Operators?
"Tungsten e-Invoice Connect is directly connected to certain VAN operators. This is referred to as interoperability and allows you to send and receive invoices with non-TeC customers.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
Tungsten e-Invoice Connect works with different VAN Operators to extend the list of customers available for you to send invoices to. If your customer is not on Tungsten e-Invoice Connect, but is using one of the VAN Operators listed below, we can add them to the list of your customers on the portal. There are a few important points to be aware of:
You must know the VAN Operator of your customer (how they receive invoices).
You must verify that the customer isn't already available on the portal. You can do this from the menu ""
Invoice
"" - ""
Create new
"" - Then search for a recipient. If they are available, you should try to invoice them directly. If successful, then you can already transact with your customer.
If you get an error ""
The electronic recipient could not be identified
"", please verify that you provided the correct customer ID or party ID. If you provided the correct one, then an update to our registry might be required. You are most likely looking to change the VAN Operator assigned (as they changed it on their end).
If you get an error ""
Incorrect Customer GLN has been used
"", please verify that you provided the correct customer ID or party ID. If you provided the correct one, then an update to our registry might be required. You are most likely looking to change the VAN Operator assigned (as they changed it on their end).
If your customer is already on PEPPOL, then you don't need to add them via their VAN Operator. You can already send them invoices from the menu ""
Invoice
"" - ""
Create new
"" (but this time select ""Search in Peppol Directory""). You can verify this with this guide:
Tungsten e-Invoice Connect (TeC) - How to check Peppol Customer Registration?
List of
VAN Operators that we can connect
with: Apix Messaging, Basware, Basware, BGC, CGI, Compello AB, Crediflow, EDI Solutions, Exder, Inexchange, LOGIQ AS, Maventa, Nordea, Opentext, Opus Capita, Opus Capita, Pagero, PostNord, Ropo Capital Oy, ScanCloud, Sproom, Swedbank, Tieto, TrueCommerce, Tyringekonsult AB, Visma Proceedo.
 If your customer's VAN operator is not in the list, we will not be able to connect to them. In that case, an alternative channel such as PEPPOL should be used, or the customer should be invited to use TeC directly.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers they use to receive invoices (GLN's, ORG NUMBERS, etc)
VAN Operator name (the company they use to receive invoices)

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the TeC registry (interoperability list). If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add or change a customer in the interoperability registry from TeC?
"NemHandel is Denmarks national e-invoicing infrastructure that enables businesses and public institutions to securely send and receive electronic invoices using standardized formats like OIOUBL and PEPPOL.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
If your Danish company is not yet registered in NemHandel, and you want to receive invoices (including B2G), then your company needs to be added to the NemHandel registry. There are a few important points to be aware of:
The request must be submitted by the company itself; it is not possible to request registration in the Danish registry on the customer's behalf.
While it is not mandatory for Danish companies to be registered in NemHandel or PEPPOL, it is strongly recommended to ensure smoother e-invoicing operations.
Being part of the NemHandel does not automatically add you to PEPPOL. If you are looking to add your company to Peppol, you must mention it as part of your request.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers (CVR, GLN etc.)
If you are providing multiple IDs, specify your primary one.
If you are looking to be added to PEPPOL in addition to NemHandel, clearly mention it in your request.

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the Danish registry. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add our company to Denmark's registry (NemHandel)?
"Tungsten e-Invoice Connect is an official PEPPOL SMP (Service Metadata Publisher), which means we are authorized to register and manage participant data within the PEPPOL network. As a customer of Tungsten e-Invoice Connect, we can help you to register on PEPPOL.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
If your company is not yet registered in PEPPOL, and you want to receive invoices, then your company needs to be added in the PEPPOL network. There are a few items to be made aware of:
The request must be submitted by the company itself; it is not possible to request registration in PEPPOL on the customer's behalf.
If a customer is already registered in PEPPOL, and requires modifications, then changes must be applied by the SMP/Operator that added the customer first. We can only do modifications to PEPPOL customers added by Tungsten e-Invoice Connect.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers (ORGnr, GLN etc.)
If you are providing multiple IDs, specify your primary one.

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the PEPPOL network. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add our company to Peppol registry?
"One company account can have multiple users. This allows each employee to log in using their own email address.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Account users menu
The ""Account users"" page will allow you to manage all your users. This includes granting access, revoking access and changing access. From the top menu, select ""
Settings
"" - ""
Account users
"". The next action will depend on whether the email address is already registered as a user.
Button ""
Add existing user
"": If the email address can already login to Tungsten e-Invoice Connect, select this option. The registration process is simplified. The employee might already have access to other company accounts. It is possible for a user to access multiple company accounts. The company account can be selected after logging in or at any time later.
Button ""
Add new user
"": If the email address is new to Tungsten e-Invoice Connect, select this option. This option is for first-time users who are new to our portal. The new user flow will be triggered.
 If you are unsure about the correct option, we recommend using the button ""
Add new user
"" first. If the email address already exists, you will get an error message when providing the email address. In that case, you will have to use the other option ""
Add existing user
"".

Step 2:
User settings
After selecting the option ""
Add new user
"", you will be invited to provide some information and notification settings.
Name
: We recommend adding the first and last name of the user.
Email address:
This will be used for login and notifications.
Phone: Optional.
Mobile phone: Optional.
Fax: Optional.
Administrator
: Select this if the user should have administrator rights. This grants additional privileges such as managing users, editing settings, and updating the company address.
Notifications
: You can choose which notifications the user should receive.
Once ready, press the button ""
Save
"":
If
successful
, you will get a confirmation message ""
The user is added""
.
If
not successful
, you will get an error ""

A user with this email address already exists
"". In that case, you must create the user using the button ""
Add existing user
"" instead.
If using the button ""
Add existing user
"", you will only need to provide the email address. Remaining user information is already available in our system.

Step 3:
Confirming Email Address
In the case you select ""
Add new user
"", the person will have to confirm their email address. If the user already existed, they will simply get informed via email, without action required.
The new user will need to open the email ""Verify your email address for e-Invoice Connect"".
Then the user should be clicking on the link available.

Step 4:
Managing existing users
In the future, you might be looking to change user access or configuration. In that case, you will have the following possibilities:
Administrator
and
Notifications
: You can change them directly by using the checkbox.
Revoke
/
Grant
: You can remove access to the account by selecting ""Revoke"". This will also grey out the administrator option. You can grant back the access in the future.
Delete
: You can delete a user completely from the list. You need to first revoke the access to display this option.",Tungsten e-Invoice Connect (TeC) - How to add a new user to your company account?
"TIEKE is Finlands national e-invoice address registry that helps businesses and service providers find and manage electronic invoicing details like OVT codes and operator routing information.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
If your Finnish company is not yet registered in TIEKE, we can help you to be registered. There are a few items to be made aware of:
The request must be submitted by the company itself; it is not possible to request registration in the Finnish registry on the customer's behalf.
Being listed in TIEKE does not enable you to receive invoices. TIEKE is not a network for transmitting e-invoices. It functions more like a directory or phone book, listing the e-invoicing addresses and routing information of companies. Invoices are received directly via Tungsten e-Invoice Connect, other VAN operators (via interopability), or PEPPOL.
Similar to the above, being added to TIEKE does not automatically add you to PEPPOL. If you are looking to add your company to Peppol, you must mention it as part of your request.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers (Y-tunnus, ORGnr, OVT, GLN, etc.)
If you are providing multiple IDs, specify your primary one.
If you are looking to be added to PEPPOL in addition to TIEKE, clearly mention it in your request.

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the Finnish registry. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add our company to Finland's registry (TIEKE)?
"ELMA is a Norwegian registry used for electronic invoicing (e-invoicing) in compliance with EHF (Elektronisk Handelsformat), which is Norways standard for electronic business documents.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
If your Norwegian company is not yet registered in ELMA, and you want to receive invoices, then your company needs to be added to the ELMA registry. There are a few items to be made aware of:
The request must be submitted by the company itself; it is not possible to request registration in the Norwegian registry on the customer's behalf.
Being added to ELMA will automatically add you to the PEPPOL network. ELMA is Norways national Peppol access point/registry.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company ORG (ID)
Contact Person (Name, Phone & Email).

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the Norwegian registry. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add our company to Norway's registry (ELMA)?
"NEA is Swedens national e-invoice address registry that helps businesses and service providers find and manage electronic invoicing details like operator routing information.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Information & Disclaimers
If your Swedish company is not yet registered in NEA, we can help you to be registered. There are a few items to be made aware of:
The request must be submitted by the company itself; it is not possible to request registration in the Swedish registry on the customer's behalf.
Being listed in NEA does not enable you to receive invoices. NEA is not a network for transmitting e-invoices. It functions more like a directory or phone book, listing the e-invoicing addresses and routing information of companies. Invoices are received directly via Tungsten e-Invoice Connect, other VAN operators (via interopability), or PEPPOL.
Similar to the above, being added to NEA does not automatically add you to PEPPOL. If you are looking to add your company to Peppol, you must mention it as part of your request.

Step 2:
Contacting our Technical Support
The request must be raised to our Technical Support team. You will need to provide the following information:
Company Name
Company Identifiers (ORGnr, Organisationsnummer, GLN, Peppol ID, etc.)
If you are providing multiple IDs, specify your primary one.
If you are looking to be added to PEPPOL in addition to NEA, clearly mention it in your request.

Important
:
Technical Support for TeC is provided to direct customers with Plus or Premium memberships.
Customers with a Free or Basic membership are not eligible to request changes in the Swedish registry. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly to raise the request on your behalf. You can find more information via this article:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?",Tungsten e-Invoice Connect (TeC) - How to add our company to Sweden's registry (NEA)?
